high_shear_rep1	high_shear_rep2	high_shear_rep3	high_shear_rep4	low_shear_rep1	low_shear_rep2	low_shear_rep3	low_shear_rep4
ENSGALG00010001617	2.86634798898345	2.56903403524921	3.05788092433736	2.57616694554831	2.63067276564406	2.03410493115519	2.51411196887114	2.06742283057054
ENSGALG00010001620	4.30951230737589	4.05347057924559	4.07415404901113	4.58174547921399	4.86178099051862	4.46205835742496	4.26430720731744	4.35389184327662
ENSGALG00010001627	3.74536111214799	3.86267591839192	3.99191557275592	3.63722822042529	3.97167729059515	3.53659231259086	3.80187285861517	3.65772739615257
ENSGALG00010001628	1.04868821200238	1.74976248068317	2.19983374165304	2.08561748716222	1.82650776774774	2.12108706092169	2.02345783597345	2.51010649539354
ENSGALG00010001632	1.7060202137493	1.14146054265934	0.843459575056999	1.17705475008144	1.54799216957867	1.36092715567586	1.54238113207989	1.0593724601715
ENSGALG00010001635	1.1491887923732	0.758580241314939	0.746471563317708	1.09012100542586	0.606990136458034	-0.345953546406941	-0.37371376382626	0.0431356875406291
ENSGALG00010001647	2.05590933163879	2.59995427639809	2.1627259003255	2.96619490631936	2.55626003223197	1.84262662897073	2.87957794383007	2.06742283057054
ENSGALG00010001654	8.8226787889325	9.16462391997351	9.00939652439178	9.17883586437525	9.03841466493016	8.80693549249144	9.08111066460858	8.64302887147954
ENSGALG00010001670	0.230433385122822	0.235858544049667	0.746471563317708	-0.568300746771756	-0.763502417112195	-0.345953546406941	0.673771266422287	-0.184709854894244
ENSGALG00010001674	3.40265737420046	3.64274703371536	3.57821944927982	3.45788270725686	3.19390697027859	3.38666615850228	3.47860842105336	3.37335472819361
ENSGALG00010001678	6.01682831761616	5.72400822411464	5.49429989739381	5.68138583183242	5.57292277836514	5.78474134003501	6.39128091613811	5.70205562347778
ENSGALG00010001686	5.22072088972711	5.3079883627428	5.10685229713177	5.12604233042839	5.29831509243462	5.02129522762503	5.79735509399285	5.12509075044293
ENSGALG00010001689	5.79435880184381	5.80585418230858	5.87305800542451	5.9852839572321	5.64650243119827	5.32595351949238	5.73626776194551	5.41703340273732
ENSGALG00010001691	2.86634798898345	3.0440616032418	2.90897488529769	2.63876608144043	2.92489191939174	3.00735872215808	3.06134092956376	3.14692287963599
ENSGALG00010001695	3.29708980607382	1.14146054265934	3.22919627652198	3.65247878034602	3.31167785032416	3.21933313359873	4.00790034403967	3.6228969498598
ENSGALG00010001697	3.77711852054184	3.51878166933298	3.60613068696205	3.4921932148474	3.48214537934206	2.98434223348713	3.3211156041316	2.93610916389361
